date|account|category|amount|currency|converted amount|currency|description||||
8/12/2018|Cash|Deposits|83|MYR|83|MYR|Viper (syah) |||Starling Parking |2
10/12/2018|Cash|Clothes|-152.62|MYR|-152.62|MYR|Moms makeup|||Stashaway |1
11/12/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner mamak|||Stationary |1
12/12/2018|Cash|Eating out|-16.5|MYR|-16.5|MYR|Lunch (wong kok) |||Steam (hff & overcook)|1
12/12/2018|Cash|Tech|-40.2|MYR|-40.2|MYR|Earphones |||Steam (NBA) |1
13/12/2018|Cash|Eating out|-147|MYR|-147|MYR|Dinner (pizza lab) |||Strepsils|1
13/12/2018|Cash|Eating out|-7|MYR|-7|MYR|Lunch (zap fan)|||Subang parade parking|1
14/12/2018|Cash|Eating out|-8|MYR|-8|MYR|Dinner mamak|||Sunglasses |1
17/12/2018|Cash|Eating out|-12|MYR|-12|MYR|Lunch (korean) |||Supper (family mart) |1
18/12/2018|Cash|Car|-100|MYR|-100|MYR|Touch & Go|||Supper (hayaki) |1
18/12/2018|Cash|Movie|-15|MYR|-15|MYR|Movie (aquaman) |||Supper (mamak + mcd) |1
18/12/2018|Cash|Car|-3|MYR|-3|MYR|Pyramid parking |||Supper (mamak) |2
19/12/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Lunch (zap fan)|||Supper (mcd) |1
19/12/2018|Cash|Eating out|-12.6|MYR|-12.6|MYR|Dinner panmee|||Supper mcd|2
19/12/2018|Cash|Eating out|-1.6|MYR|-1.6|MYR|Breakfast (twiggies) |||Table|1
20/12/2018|Cash|Eating out|-9.5|MYR|-9.5|MYR|Lunch (zap fan)|||Tape|1
20/12/2018|Cash|Tech|-168|MYR|-168|MYR|Dashcam|||Tattoo|1
21/12/2018|Cash|Car|-66.52|MYR|-66.52|MYR|Petrol |||Tattoo deposit |1
22/12/2018|Cash|Eating out|-12.4|MYR|-12.4|MYR|Dinner mcd|||Tau fu fa|1
23/12/2018|Cash|Trip|-48.25|MYR|-48.25|MYR|Booze party|||Tax refund |4
23/12/2018|Cash|Eating out|-26|MYR|-26|MYR|Lunch (103 cafe) |||Tealive|1
24/12/2018|Cash|Eating out|-8.6|MYR|-8.6|MYR|Lunch (chee cheong fun) |||Tealive |3
24/12/2018|Cash|Trip|-8|MYR|-8|MYR|Broga trip|||Texas with kk kv ken|1
27/12/2018|Cash|Allowance|-10|MYR|-10|MYR|Tony|||Thai baht|1
27/12/2018|Cash|Eating out|-9.5|MYR|-9.5|MYR|Lunch (zap fan)|||The art of war|1
27/12/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak|||The working dead|1
29/12/2018|Cash|Tech|-168.55|MYR|-168.55|MYR|Wifi|||Titanfall 2|1
29/12/2018|Cash|"Salary,""3"|"090.85"",MYR,""3"|"090.85"",MYR"|Salary |||||TM Parking|1
29/12/2018|Cash|Allowance|-78|MYR|-78|MYR|Transfer mom|||Toll & petrol |1
29/12/2018|Cash|Deposits|78|MYR|78|MYR|Transfer mom|||Toll back|1
29/12/2018|Cash|Clothes|-25|MYR|-25|MYR|Fix shoes|||Tony|8
30/12/2018|Cash|Car|-67.72|MYR|-67.72|MYR|Petrol |||Touch & Go|16
31/12/2018|Cash|Eating out|-14|MYR|-14|MYR|Dinner panmee|||Touch & Go |13
1/1/2019|Cash|Tech|-11.1|MYR|-11.1|MYR|Ethernet cable|||Transfer mom|2
2/1/2019|Cash|Eating out|-16.9|MYR|-16.9|MYR|Lunch (Nando's) |||Tuition |4
2/1/2019|Cash|Deposits|10|MYR|10|MYR|Tony|||Tuition (all) |2
2/1/2019|Cash|Eating out|-14|MYR|-14|MYR|Dinner mamak|||Tuition (books) |1
3/1/2019|Cash|Eating out|-7.7|MYR|-7.7|MYR|Lunch (toast and roast)|||Tuition (Chunyong Hong kai) |1
3/1/2019|Cash|Eating out|-4|MYR|-4|MYR|Lunch (mamak) |||Tuition (Chunyong) |3
3/1/2019|Cash|Eating out|-9|MYR|-9|MYR|Dinner thai|||Tuition (hong hui) |3
5/1/2019|Cash|Car|-10|MYR|-10|MYR|Touch & Go|||Tuition (hongkai) |2
5/1/2019|Cash|Deposits|41|MYR|41|MYR|Raymond |||Tuition (replacement for Bs) |1
5/1/2019|Cash|Eating out|-5.2|MYR|-5.2|MYR|Dinner (family mart) |||Tuition (shuhui + claudia) |2
5/1/2019|Cash|Eating out|-6|MYR|-6|MYR|Dinner mamak|||Tuition (shuhui +books) |1
5/1/2019|Cash|Deposits|82|MYR|82|MYR|Kv kk|||Tuition (shuhui) |7
5/1/2019|Cash|Eating out|-247.3|MYR|-247.3|MYR|Dinner (sweet Inn) |||Tuition (xin fei) |1
5/1/2019|Cash|Deposits|42|MYR|42|MYR|Kenneth |||Tuition books|1
5/1/2019|Cash|Deposits|41|MYR|41|MYR|Andrew |||Tuition Bs|2
6/1/2019|Cash|Eating out|-11.5|MYR|-11.5|MYR|Dinner (western) |||Tuition Elaine |2
7/1/2019|Cash|Music|-22.4|MYR|-22.4|MYR|Spotify |||Tuition rental|2
7/1/2019|Cash|Eating out|-12|MYR|-12|MYR|Dinner mamak|||Tuition replacement Bs (April 18th)|1
7/1/2019|Cash|Allowance|-474.28|MYR|-474.28|MYR|Ptptn|||Tuition replacement Bs (July 27th)|1
7/1/2019|Cash|Eating out|-6|MYR|-6|MYR|Lunch (zap fan)|||Tuition replacement Bs (July 6th)|1
8/1/2019|Cash|Eating out|-9|MYR|-9|MYR|Lunch (chicken rice) |||Tuition replacement Bs (May 4th)|1
8/1/2019|Cash|Eating out|-9|MYR|-9|MYR|Dinner panmee|||Tyres|1
9/1/2019|Cash|Movie|-20|MYR|-20|MYR|Movie (bumblebee) |||Umobile |1
9/1/2019|Cash|Car|-60.31|MYR|-60.31|MYR|Petrol |||Unilqlo denim shirt |1
9/1/2019|Cash|Eating out|-7|MYR|-7|MYR|Lunch (zap fan)|||Unilqlo pants|1
9/1/2019|Cash|Allowance|-20|MYR|-20|MYR|Tony|||USS |1
10/1/2019|Cash|Allowance|-200|MYR|-200|MYR|Mom |||Valheim|1
10/1/2019|Cash|Eating out|-19.9|MYR|-19.9|MYR|Lunch (oiso) |||Vampire diaries|1
10/1/2019|Cash|Deposits|20|MYR|20|MYR|Tony|||Viper (kk) |1
10/1/2019|Cash|Eating out|-7.6|MYR|-7.6|MYR|Dinner mamak |||Viper (syah) |1
11/1/2019|Cash|Eating out|-4|MYR|-4|MYR|Lunch (zap fan)|||Viper challenge (darien gab syah kk) |1
14/01/2019|Cash|Eating out|-12.1|MYR|-12.1|MYR|Dinner mamak |||Viper challenge (darien justin) |1
14/01/2019|Cash|Eating out|-7.8|MYR|-7.8|MYR|Lunch (zap fan)|||Wallet|1
15/01/2019|Cash|Eating out|-9.5|MYR|-9.5|MYR|Lunch (yeemee) |||Wallet |1
15/01/2019|Cash|Eating out|-9|MYR|-9|MYR|Dinner panmee |||Watch |1
16/01/2019|Cash|Eating out|-13.4|MYR|-13.4|MYR|Lunch (korean) |||We were here|1
16/01/2019|Cash|Clothes|-80|MYR|-80|MYR|Bag|||Wedding |3
16/01/2019|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak |||Whiteboard |1
17/01/2019|Cash|Eating out|-11.35|MYR|-11.35|MYR|Lunch (mamak) |||Wifi|41
18/01/2019|Cash|Eating out|-30|MYR|-30|MYR|Lunch (pizza) |||Winter jacket |1
18/01/2019|Cash|Car|-58|MYR|-58|MYR|Petrol |||Wx|1
19/01/2019|Cash|Eating out|-12.1|MYR|-12.1|MYR|Dinner thai|||Xin fu tang |1
20/01/2019|Cash|Eating out|-10.2|MYR|-10.2|MYR|Dinner (chee cheong fun) |||Yoga mat|1
21/01/2019|Cash|Eating out|-11|MYR|-11|MYR|Dinner Chinese mamak |||Yoko yoko|1
21/01/2019|Cash|Allowance|-105|MYR|-105|MYR|Mom shirt|||Yomi|1
22/01/2019|Cash|Eating out|-11.6|MYR|-11.6|MYR|Lunch (subway) |||Ys book|1
22/01/2019|Cash|Clothes|-6.4|MYR|-6.4|MYR|Bottle |||Ys specs|1
22/01/2019|Cash|Eating out|-7|MYR|-7|MYR|Dinner mamak |||Zippo|1
23/01/2019|Cash|Eating out|-5|MYR|-5|MYR|Lunch (zap fan)|||Zouk parking |54
23/01/2019|Cash|Clothes|-99.9|MYR|-99.9|MYR|Unilqlo denim shirt |||(blank)|
23/01/2019|Cash|Eating out|-8.5|MYR|-8.5|MYR|Dinner thai|||Grand Total|2093
24/01/2019|Cash|Salary|170|MYR|170|MYR|Tuition ||||
24/01/2019|Cash|Eating out|-9|MYR|-9|MYR|Dinner mamak ||||
25/01/2019|Cash|Deposits|150|MYR|150|MYR|Mom ||||
25/01/2019|Cash|Allowance|-35|MYR|-35|MYR|Mom ||||
25/01/2019|Cash|Clothes|-50|MYR|-50|MYR|Fix shoes||||
25/01/2019|Cash|Eating out|-14.7|MYR|-14.7|MYR|Dinner thai||||
26/01/2019|Cash|Eating out|-7.2|MYR|-7.2|MYR|Dinner (quan) ||||
26/01/2019|Cash|Allowance|-54.6|MYR|-54.6|MYR|Mom||||
28/01/2019|Cash|Tech|-123.55|MYR|-123.55|MYR|Wifi||||
28/01/2019|Cash|Eating out|-16|MYR|-16|MYR|Lunch (smores) ||||
28/01/2019|Cash|Clothes|-39.9|MYR|-39.9|MYR|Unilqlo pants||||
29/01/2019|Cash|Eating out|-9|MYR|-9|MYR|Dinner panmee||||
29/01/2019|Cash|Tech|-5|MYR|-5|MYR|Reload ||||
29/01/2019|Cash|Car|-100|MYR|-100|MYR|Touch & Go||||
29/01/2019|Cash|Eating out|-18.35|MYR|-18.35|MYR|Lunch (smores) ||||
30/01/2019|Cash|Eating out|-25.05|MYR|-25.05|MYR|L.lunch (smores) ||||
30/01/2019|Cash|Eating out|-8.9|MYR|-8.9|MYR|Dinner mamak ||||
31/01/2019|Cash|Clothes|-109|MYR|-109|MYR|LOL Tshirt ||||
31/01/2019|Cash|Eating out|-11.5|MYR|-11.5|MYR|Dinner (twiggies) ||||
31/01/2019|Cash|"Salary,""5"|"771.7"",MYR,""5"|"771.7"",MYR"|Salary ||||||
2/2/2019|Cash|Eating out|-31.4|MYR|-31.4|MYR|Dinner (kanna) ||||
2/2/2019|Cash|Eating out|-6.5|MYR|-6.5|MYR|Lunch (chicken rice) ||||
2/2/2019|Cash|Tech|-40.6|MYR|-40.6|MYR|Umobile ||||
2/2/2019|Cash|Deposits|50|MYR|50|MYR|Mom||||
2/2/2019|Cash|Car|-57.32|MYR|-57.32|MYR|Petrol ||||
7/2/2019|Cash|Eating out|-12.7|MYR|-12.7|MYR|Lunch (mcd) ||||
7/2/2019|Cash|Deposits|270|MYR|270|MYR|Angpau||||
8/2/2019|Cash|Eating out|-6|MYR|-6|MYR|Dinner panmee||||
8/2/2019|Cash|Car|-25.32|MYR|-25.32|MYR|Petrol ||||
9/2/2019|Cash|Tech|-10|MYR|-10|MYR|Reload ||||
10/2/2019|Cash|Deposits|85|MYR|85|MYR|Angpau||||
10/2/2019|Cash|Allowance|-5|MYR|-5|MYR|Gamble||||
11/2/2019|Cash|Music|-22.4|MYR|-22.4|MYR|Spotify ||||
11/2/2019|Cash|Eating out|-18.4|MYR|-18.4|MYR|Lunch (smores) ||||
11/2/2019|Cash|Clothes|-115|MYR|-115|MYR|Cap||||
12/2/2019|Cash|Eating out|-16|MYR|-16|MYR|Lunch (smores) ||||
12/2/2019|Cash|Allowance|-464|MYR|-464|MYR|Ptptn||||
13/02/2019|Cash|Trip|-676|MYR|-676|MYR|Hanoi ||||
13/02/2019|Cash|Eating out|-8.75|MYR|-8.75|MYR|Lunch (zap fan)||||
13/02/2019|Cash|Eating out|-8|MYR|-8|MYR|Dinner mamak ||||
14/02/2019|Cash|Trip|-474|MYR|-474|MYR|Hanoi King ||||
14/02/2019|Cash|Eating out|-6.3|MYR|-6.3|MYR|Lunch (korean) ||||
14/02/2019|Cash|Deposits|10|MYR|10|MYR|Angpau||||
15/02/2019|Cash|Car|-63|MYR|-63|MYR|Petrol ||||
15/02/2019|Cash|Eating out|-6.5|MYR|-6.5|MYR|Lunch (chicken rice) ||||
15/02/2019|Cash|Deposits|100|MYR|100|MYR|Bob||||
15/02/2019|Cash|Food|-113.4|MYR|-113.4|MYR|Dinner (18noma)||||
15/02/2019|Cash|Deposits|56|MYR|56|MYR|Ck & Cz||||
15/02/2019|Cash|Allowance|-15|MYR|-15|MYR|Bob||||
16/02/2019|Cash|Car|-117|MYR|-117|MYR|Service ||||
16/02/2019|Cash|Allowance|-78|MYR|-78|MYR|Mom||||
16/02/2019|Cash|Eating out|-6|MYR|-6|MYR|Lunch (pork noodles) ||||
17/02/2019|Cash|Deposits|80|MYR|80|MYR|Mom ||||
18/02/2019|Cash|Eating out|-12.5|MYR|-12.5|MYR|Lunch (smores) ||||
18/02/2019|Cash|Clothes|-20|MYR|-20|MYR|Watch ||||
18/02/2019|Cash|Eating out|-7|MYR|-7|MYR|Dinner thai||||
18/02/2019|Cash|Deposits|250|MYR|250|MYR|Wx||||
18/02/2019|Cash|Deposits|5|MYR|5|MYR|Angpau||||
19/02/2019|Cash|Eating out|-8|MYR|-8|MYR|Lunch (mamak) ||||
19/02/2019|Cash|Eating out|-5.5|MYR|-5.5|MYR|Dinner mamak zapfan||||
20/02/2019|Cash|Eating out|-34.5|MYR|-34.5|MYR|Lunch (secrets of louisiana) ||||
20/02/2019|Cash|Movie|-10.5|MYR|-10.5|MYR|Alita||||
20/02/2019|Cash|Eating out|-10|MYR|-10|MYR|Dinner mamak ||||
21/02/2019|Cash|Eating out|-6.5|MYR|-6.5|MYR|Lunch (zap fan)||||
21/02/2019|Cash|Eating out|-8.5|MYR|-8.5|MYR|Dinner thai||||
22/02/2019|Cash|Eating out|-17|MYR|-17|MYR|Dinner mamak ||||
22/02/2019|Cash|Car|-62|MYR|-62|MYR|Petrol ||||
23/02/2019|Cash|Eating out|-4|MYR|-4|MYR|Lunch (zap fan)||||
23/02/2019|Cash|Eating out|-3|MYR|-3|MYR|Dinner mamak zapfan||||
24/02/2019|Cash|Books|-90|MYR|-90|MYR|Enin graduation flowers||||
25/02/2019|Cash|Eating out|-7|MYR|-7|MYR|Dinner mamak ||||
25/02/2019|Cash|Eating out|-24.55|MYR|-24.55|MYR|Lunch (smores) ||||
26/02/2019|Cash|Eating out|-14.2|MYR|-14.2|MYR|Lunch (wong kok) ||||
27/02/2019|Cash|"Salary,""3"|"433.45"",MYR,""3"|"433.45"",MYR"|Salary ||||||
27/02/2019|Cash|Eating out|-13.65|MYR|-13.65|MYR|Lunch (texas) ||||
27/02/2019|Cash|Deposits|14.2|MYR|14.2|MYR|Tony||||
28/02/2019|Cash|Salary|181.5|MYR|181.5|MYR|Tuition ||||
28/02/2019|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak ||||
28/02/2019|Cash|Eating out|-24|MYR|-24|MYR|Lunch (korean) ||||
1/3/2019|Cash|Eating out|-9.5|MYR|-9.5|MYR|Dinner thai||||
1/3/2019|Cash|Tech|-168.55|MYR|-168.55|MYR|Wifi||||
1/3/2019|Cash|Eating out|-12|MYR|-12|MYR|Lunch (chicken rice) ||||
2/3/2019|Cash|Car|-20|MYR|-20|MYR|MyRapid||||
2/3/2019|Cash|Tech|-11.6|MYR|-11.6|MYR|Bball arcade||||
3/3/2019|Cash|Eating out|-8.5|MYR|-8.5|MYR|Lunch (Wendys) ||||
3/3/2019|Cash|Eating out|-20|MYR|-20|MYR|Dinner (toast & roast) ||||
3/3/2019|Cash|Trip|-8|MYR|-8|MYR|Board games||||
3/3/2019|Cash|Trip|-223.9|MYR|-223.9|MYR|Genting ||||
4/3/2019|Cash|Medical|-65|MYR|-65|MYR|Sore throat ||||
4/3/2019|Cash|Eating out|-3.65|MYR|-3.65|MYR|Bread||||
5/3/2019|Cash|Eating out|-16.2|MYR|-16.2|MYR|Lunch (smores) ||||
5/3/2019|Cash|Car|-100|MYR|-100|MYR|Touch & Go||||
5/3/2019|Cash|Deposits|450|MYR|450|MYR|King||||
5/3/2019|Cash|Eating out|-6.1|MYR|-6.1|MYR|Dinner mamak zapfan||||
6/3/2019|Cash|Eating out|-7|MYR|-7|MYR|Lunch (zap fan)||||
6/3/2019|Cash|Eating out|-5.5|MYR|-5.5|MYR|Dinner mamak zapfan||||
6/3/2019|Cash|Trip|-158.75|MYR|-158.75|MYR|Hanoi ||||
7/3/2019|Cash|Eating out|-9.2|MYR|-9.2|MYR|Dinner Chinese mamak ||||
7/3/2019|Cash|Deposits|700|MYR|700|MYR|King||||
7/3/2019|Cash|Eating out|-5|MYR|-5|MYR|Lunch (zap fan)||||
7/3/2019|Cash|Clothes|-18.4|MYR|-18.4|MYR|Sunglasses ||||
7/3/2019|Cash|"Trip,""-1"|"424"",MYR,""-1"|"424"",MYR"|Hanoi ||||||
7/3/2019|Cash|Music|-22.4|MYR|-22.4|MYR|Spotify ||||
7/3/2019|Cash|Deposits|51.5|MYR|51.5|MYR|Tuition (hong hui) ||||
8/3/2019|Cash|Trip|-100|MYR|-100|MYR|Grab||||
12/3/2019|Cash|Deposits|62|MYR|62|MYR|Ariff ||||
12/3/2019|Cash|Trip|-30|MYR|-30|MYR|Grab||||
13/03/2019|Cash|Eating out|-87.1|MYR|-87.1|MYR|Dinner (shisha) ||||
13/03/2019|Cash|Deposits|20|MYR|20|MYR|Bob||||
13/03/2019|Cash|Deposits|44|MYR|44|MYR|Ck||||
13/03/2019|Cash|Movie|-31.5|MYR|-31.5|MYR|Movie (captain marvel) ||||
13/03/2019|Cash|Eating out|-17.9|MYR|-17.9|MYR|Lunch (plate and bowl) ||||
14/03/2019|Cash|Eating out|-9|MYR|-9|MYR|Dinner mamak ||||
14/03/2019|Cash|Eating out|-5.5|MYR|-5.5|MYR|Lunch (zap fan)||||
14/03/2019|Cash|Medical|-27.55|MYR|-27.55|MYR|Deodorant||||
14/03/2019|Cash|Deposits|40|MYR|40|MYR|King ||||
14/03/2019|Cash|Salary|125|MYR|125|MYR|Tuition (shuhui + claudia) ||||
14/03/2019|Cash|Food|-3.55|MYR|-3.55|MYR|Bread ||||
15/03/2019|Cash|Car|-60|MYR|-60|MYR|Petrol ||||
15/03/2019|Cash|Food|-2.3|MYR|-2.3|MYR|Fu cha ||||
15/03/2019|Cash|Eating out|-15.3|MYR|-15.3|MYR|Shisha||||
16/03/2019|Cash|"Trip,""-5"|"188"",MYR,""-5"|"188"",MYR"|Europe ||||||
16/03/2019|Cash|Eating out|-10|MYR|-10|MYR|Breakfast (noodles) ||||
18/03/2019|Cash|Eating out|-34.35|MYR|-34.35|MYR|Lunch (smores) ||||
18/03/2019|Cash|Deposits|17.2|MYR|17.2|MYR|Tony||||
18/03/2019|Cash|Eating out|-34|MYR|-34|MYR|Dinner mamak||||
18/03/2019|Cash|"Trip,""-1"|"000"",MYR,""-1"|"000"",MYR"|Europe ||||||
19/03/2019|Cash|Eating out|-5.4|MYR|-5.4|MYR|Dinner mamak ||||
19/03/2019|Cash|Eating out|-14|MYR|-14|MYR|Lunch (zap fan) ||||
19/03/2019|Cash|Eating out|-24|MYR|-24|MYR|Macau tea ||||
19/03/2019|Cash|Deposits|31|MYR|31|MYR|Tony||||
20/03/2019|Cash|Eating out|-15.1|MYR|-15.1|MYR|Lunch (chicken plus) ||||
20/03/2019|Cash|Eating out|-10|MYR|-10|MYR|Dinner thai||||
21/03/2019|Cash|Eating out|-14.8|MYR|-14.8|MYR|Lunch (Kim gary) ||||
21/03/2019|Cash|Car|-54.35|MYR|-54.35|MYR|Petrol ||||
21/03/2019|Cash|Eating out|-8|MYR|-8|MYR|Dinner thai||||
22/03/2019|Cash|Deposits|64|MYR|64|MYR|King||||
22/03/2019|Cash|Trip|-288|MYR|-288|MYR|Hanoi train||||
23/03/2019|Cash|Deposits|10|MYR|10|MYR|Dad||||
23/03/2019|Cash|Eating out|-8.5|MYR|-8.5|MYR|Lunch (zap fan)||||
25/03/2019|Cash|Eating out|-13.6|MYR|-13.6|MYR|Lunch (korean) ||||
25/03/2019|Cash|Tech|-30|MYR|-30|MYR|Reload ||||
26/03/2019|Cash|Eating out|-6|MYR|-6|MYR|Lunch (zap fan)||||
27/03/2019|Cash|Eating out|-5.4|MYR|-5.4|MYR|Dinner mamak ||||
27/03/2019|Cash|Deposits|100|MYR|100|MYR|King ||||
27/03/2019|Cash|Eating out|-39.6|MYR|-39.6|MYR|Shisha||||
27/03/2019|Cash|Deposits|26|MYR|26|MYR|Bob + ck||||
27/03/2019|Cash|Eating out|-17.9|MYR|-17.9|MYR|Lunch (wong kok) ||||
27/03/2019|Cash|Tech|-52.8|MYR|-52.8|MYR|Mouse||||
28/03/2019|Cash|Eating out|-5.5|MYR|-5.5|MYR|Dinner mamak zapfan||||
28/03/2019|Cash|Eating out|-15.1|MYR|-15.1|MYR|Lunch (chicken plus) ||||
29/03/2019|Cash|"Salary,""3"|"421.6"",MYR,""3"|"421.6"",MYR"|Salary ||||||
29/03/2019|Cash|Deposits|100|MYR|100|MYR|BR1M||||
29/03/2019|Cash|Car|-60|MYR|-60|MYR|Petrol ||||
29/03/2019|Cash|Eating out|-28.6|MYR|-28.6|MYR|Dinner (shisha) ||||
30/03/2019|Cash|Tech|-168.55|MYR|-168.55|MYR|Wifi||||
31/03/2019|Cash|Eating out|-120|MYR|-120|MYR|Lunch (kofix) ||||
31/03/2019|Cash|Deposits|81|MYR|81|MYR|Seraya||||
31/03/2019|Cash|Eating out|-54.6|MYR|-54.6|MYR|Dinner (f2f) ||||
31/03/2019|Cash|Deposits|28|MYR|28|MYR|Seraya||||
1/4/2019|Cash|Eating out|-11.55|MYR|-11.55|MYR|Lunch (subway) ||||
2/4/2019|Cash|Eating out|-6.5|MYR|-6.5|MYR|Lunch (zap fan)||||
2/4/2019|Cash|Allowance|-156|MYR|-156|MYR|Mom||||
3/4/2019|Cash|Eating out|-15.5|MYR|-15.5|MYR|Lunch (Thai) ||||
3/4/2019|Cash|Eating out|-10|MYR|-10|MYR|Dinner mamak ||||
4/4/2019|Cash|Eating out|-22|MYR|-22|MYR|Lunch (korean) ||||
4/4/2019|Cash|Eating out|-3.5|MYR|-3.5|MYR|Dinner mamak zapfan||||
4/4/2019|Cash|Salary|56|MYR|56|MYR|Tuition (hong hui) ||||
4/4/2019|Cash|Eating out|-39.6|MYR|-39.6|MYR|Shisha||||
4/4/2019|Cash|Deposits|25|MYR|25|MYR|Bob + ck||||
6/4/2019|Cash|Eating out|-21.7|MYR|-21.7|MYR|Dinner (murni) ||||
6/4/2019|Cash|Car|-62.2|MYR|-62.2|MYR|Petrol ||||
7/4/2019|Cash|Music|-22.4|MYR|-22.4|MYR|Spotify ||||
7/4/2019|Cash|Allowance|-464|MYR|-464|MYR|Ptptn ||||
7/4/2019|Cash|Allowance|-464|MYR|-464|MYR|Ptptn ||||
7/4/2019|Cash|Music|-204.5|MYR|-204.5|MYR|Ed Sheeran concert ||||
8/4/2019|Cash|Eating out|-13.65|MYR|-13.65|MYR|Lunch (subway) ||||
8/4/2019|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak ||||
9/4/2019|Cash|Eating out|-17.4|MYR|-17.4|MYR|Lunch (wong kok) ||||
10/4/2019|Cash|Eating out|-16.9|MYR|-16.9|MYR|Lunch (Nando's) ||||
11/4/2019|Cash|Eating out|-11|MYR|-11|MYR|Dinner mamak ||||
11/4/2019|Cash|Salary|184|MYR|184|MYR|Tuition (all) ||||
11/4/2019|Cash|Eating out|-11.35|MYR|-11.35|MYR|Lunch (mamak) ||||
12/4/2019|Cash|Car|-15|MYR|-15|MYR|Parking ||||
12/4/2019|Cash|Eating out|-21.8|MYR|-21.8|MYR|Shisha||||
12/4/2019|Cash|Eating out|-70|MYR|-70|MYR|High tea buffet||||
14/04/2019|Cash|Trip|-20|MYR|-20|MYR|Grab||||
22/04/2019|Cash|Eating out|-30.2|MYR|-30.2|MYR|Lunch (chicken plus) ||||
23/04/2019|Cash|Eating out|-9|MYR|-9|MYR|Dinner thai||||
24/04/2019|Cash|Eating out|-4.5|MYR|-4.5|MYR|Lunch (zap fan)||||
24/04/2019|Cash|Food|-6.5|MYR|-6.5|MYR|Milk||||
24/04/2019|Cash|Eating out|-13|MYR|-13|MYR|Dinner (the teh tarik place) ||||
24/04/2019|Cash|Movie|-18|MYR|-18|MYR|Movie (avengers) ||||
24/04/2019|Cash|Food|-3|MYR|-3|MYR|Redbull||||
24/04/2019|Cash|Car|-63.4|MYR|-63.4|MYR|Petrol ||||
24/04/2019|Cash|Car|-100|MYR|-100|MYR|Touch & Go||||
25/04/2019|Cash|Eating out|-7.5|MYR|-7.5|MYR|Lunch (zap fan)||||
25/04/2019|Cash|Eating out|-5.9|MYR|-5.9|MYR|Dinner mamak ||||
25/04/2019|Cash|Tech|-81.22|MYR|-81.22|MYR|Mi band 3||||
26/04/2019|Cash|Car|-50|MYR|-50|MYR|Touch & Go||||
26/04/2019|Cash|Eating out|-40|MYR|-40|MYR|Lunch (korean) ||||
27/04/2019|Cash|Clothes|-24.48|MYR|-24.48|MYR|Ankle guards ||||
28/04/2019|Cash|Clothes|-150|MYR|-150|MYR|Basketball shoes||||
29/04/2019|Cash|Tech|-168.55|MYR|-168.55|MYR|Wifi||||
29/04/2019|Cash|Eating out|-5.5|MYR|-5.5|MYR|Lunch (mamak) ||||
29/04/2019|Cash|Eating out|-5.5|MYR|-5.5|MYR|Dinner mamak zapfan||||
30/04/2019|Cash|Eating out|-16.9|MYR|-16.9|MYR|Lunch (Nando's) ||||
30/04/2019|Cash|Car|-62|MYR|-62|MYR|Petrol ||||
30/04/2019|Cash|"Salary,""3"|"553.75"",MYR,""3"|"553.75"",MYR"|Salary ||||||
2/5/2019|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak ||||
2/5/2019|Cash|Eating out|-7.5|MYR|-7.5|MYR|Lunch (zap fan)||||
2/5/2019|Cash|Salary|225|MYR|225|MYR|Tuition (all) ||||
3/5/2019|Cash|Eating out|-97|MYR|-97|MYR|Dinner (sukiya) ||||
3/5/2019|Cash|Allowance|-60|MYR|-60|MYR|Tuition replacement Bs (April 18th)||||
3/5/2019|Cash|Allowance|-464|MYR|-464|MYR|Ptptn ||||
3/5/2019|Cash|Eating out|-4.5|MYR|-4.5|MYR|Lunch (zap fan)||||
3/5/2019|Cash|Car|-2|MYR|-2|MYR|My town parking ||||
4/5/2019|Cash|Allowance|-55.86|MYR|-55.86|MYR|Mom ||||
4/5/2019|Cash|Allowance|-68|MYR|-68|MYR|Mom mirror||||
5/5/2019|Cash|Eating out|-1.8|MYR|-1.8|MYR|Herbal tea ||||
6/5/2019|Cash|Eating out|-16|MYR|-16|MYR|Lunch (smores) ||||
6/5/2019|Cash|Eating out|-7.5|MYR|-7.5|MYR|Dinner thai||||
7/5/2019|Cash|Music|-22.4|MYR|-22.4|MYR|Spotify ||||
7/5/2019|Cash|Eating out|-9|MYR|-9|MYR|Dinner mamak ||||
7/5/2019|Cash|Eating out|-12|MYR|-12|MYR|Lunch (korean) ||||
7/5/2019|Cash|Medical|-11.9|MYR|-11.9|MYR|Yoko yoko||||
8/5/2019|Cash|Eating out|-4.5|MYR|-4.5|MYR|Lunch (zap fan)||||
8/5/2019|Cash|Eating out|-2.65|MYR|-2.65|MYR|Tealive ||||
8/5/2019|Cash|Allowance|-20|MYR|-20|MYR|Kyrios ||||
8/5/2019|Cash|Eating out|-9|MYR|-9|MYR|Dinner mamak ||||
9/5/2019|Cash|Eating out|-11.55|MYR|-11.55|MYR|Lunch (subway) ||||
9/5/2019|Cash|Eating out|-5.4|MYR|-5.4|MYR|Dinner mamak ||||
