date|account|category|amount|currency|converted amount|currency|description||||
9/5/2018|Cash|Eating out|-6.2|MYR|-6.2|MYR|Dinner mamak|||Dinner (burger lab) |1
10/5/2018|Cash|Eating out|-4.3|MYR|-4.3|MYR|Dinner mamak|||Dinner (caffe abnormal) |1
10/5/2018|Cash|Movie|-58|MYR|-58|MYR|Movie tickets for Mom and Friends |||Dinner (Carl's junior) |1
11/5/2018|Cash|Eating out|-8|MYR|-8|MYR|Dinner tomyam|||Dinner (changkat) |1
12/5/2018|Cash|Eating out|-2|MYR|-2|MYR|Breakfast doughnuts|||Dinner (char kuey tiow ) |1
13/05/2018|Cash|Eating out|-4.5|MYR|-4.5|MYR|Lunch (chee cheong fun) |||Dinner (chee cheong fun) |4
14/05/2018|Cash|Car|-20|MYR|-20|MYR|Petrol|||Dinner (chizu) |1
14/05/2018|Cash|Communications|-30|MYR|-30|MYR|Reload |||Dinner (claypot chicken rice) |1
15/05/2018|Cash|Eating out|-9|MYR|-9|MYR|Movie drinks|||Dinner (dai sum yun) |1
15/05/2018|Cash|Eating out|-13|MYR|-13|MYR|Lunch (korean) |||Dinner (Daves deli) |1
15/05/2018|Cash|Eating out|-2.5|MYR|-2.5|MYR|Bread|||Dinner (dishes) |1
15/05/2018|Cash|Movie|-17|MYR|-17|MYR|Deadpool 2|||Dinner (doni) |1
16/05/2018|Cash|Car|-66.3|MYR|-66.3|MYR|Petrol|||Dinner (Eddie & Co) |1
16/05/2018|Cash|Allowance|-200|MYR|-200|MYR|Mom |||Dinner (f2f) |1
16/05/2018|Cash|Eating out|-9|MYR|-9|MYR|Lunch (mcd) |||Dinner (family mart) |1
16/05/2018|Cash|Eating out|-13|MYR|-13|MYR|Dinner mamak|||Dinner (foodpanda) |1
17/05/2018|Cash|Eating out|-8|MYR|-8|MYR|Dinner chicken rice |||Dinner (fried laksa) |1
17/05/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Lunch (zap fan) |||Dinner (hainan) |1
18/05/2018|Cash|Salary|65|MYR|65|MYR|Hong kai April |||Dinner (heartbeat) |2
18/05/2018|Cash|Eating out|-6|MYR|-6|MYR|Dinner mamak|||Dinner (hiong pan) |4
18/05/2018|Cash|Games|-25|MYR|-25|MYR|Luggage sorter mom |||Dinner (hokkien mee) |1
21/05/2018|Cash|Eating out|-1.7|MYR|-1.7|MYR|Dinner (twiggies) |||Dinner (hong kong restaurant) |3
21/05/2018|Cash|Eating out|-10.5|MYR|-10.5|MYR|Lunch (mamak) |||Dinner (kanna) |1
22/05/2018|Cash|Eating out|-8.5|MYR|-8.5|MYR|Lunch (zap fan) |||Dinner (kgb) |1
22/05/2018|Cash|Eating out|-6.1|MYR|-6.1|MYR|Dinner mamak|||Dinner (korean bbq) |2
23/05/2018|Cash|Eating out|-8|MYR|-8|MYR|Dinner mamak|||Dinner (korean) |1
24/05/2018|Cash|Eating out|-9.1|MYR|-9.1|MYR|Lunch (panmee ) |||Dinner (lu rou) |1
25/05/2018|Cash|Eating out|-7.6|MYR|-7.6|MYR|Dinner mamak|||Dinner (maistreet) |1
25/05/2018|Cash|Clothes|-500|MYR|-500|MYR|Specs (first half) |||Dinner (malay store with jy)|1
25/05/2018|Cash|Salary|240|MYR|240|MYR|Tuition (shuhui) |||Dinner (murni) |2
25/05/2018|Cash|Trip|-35|MYR|-35|MYR||||Dinner (nasi lemak) |1
27/05/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak|||Dinner (noodles) |1
28/05/2018|Cash|Music|-17.2|MYR|-17.2|MYR|Karaoke |||Dinner (Nyonya) |1
28/05/2018|Cash|Eating out|-9.6|MYR|-9.6|MYR|Lunch (mamak) |||Dinner (oasis) |1
28/05/2018|Cash|Eating out|-10|MYR|-10|MYR|Dinner mcd|||Dinner (one Utama) |2
28/05/2018|Cash|"Salary,""3"|"090.85"",MYR,""3"|"090.85"",MYR"||||||Dinner (pasar malam) |1
29/05/2018|Cash|Eating out|-77|MYR|-77|MYR|Lunch (chicken rice) |||Dinner (pho) |1
29/05/2018|Cash|Eating out|-23|MYR|-23|MYR|Dinner (uncle Don) |||Dinner (pizza lab) |1
30/05/2018|Cash|Eating out|-12.9|MYR|-12.9|MYR|Lunch (ninjajoe) |||Dinner (pizza) |3
30/05/2018|Cash|Eating out|-6.9|MYR|-6.9|MYR|Dinner (chee cheong fun) |||Dinner (popo kitchen) |1
31/05/2018|Cash|Tech|-166.55|MYR|-166.55|MYR|Wifi|||Dinner (qtaro) |1
31/05/2018|Cash|Car|-64.1|MYR|-64.1|MYR|Petrol |||Dinner (quan) |6
31/05/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner Chinese mamak |||Dinner (rekindle) |1
31/05/2018|Cash|Deposits|10|MYR|10|MYR||||Dinner (renaissance) |1
31/05/2018|Cash|Eating out|-20.9|MYR|-20.9|MYR|Lunch (brussels) |||Dinner (rendezvous) |1
4/6/2018|Cash|Tech|-334.8|MYR|-334.8|MYR|Monitor |||Dinner (saga) |6
4/6/2018|Cash|Salary|70|MYR|70|MYR|Tuition (Chunyong) |||Dinner (sakae sushi) |1
4/6/2018|Cash|Eating out|-20.2|MYR|-20.2|MYR|Lunch (wong kok) |||Dinner (seafood buffet with bball ppl) |1
4/6/2018|Cash|Eating out|-6|MYR|-6|MYR|Dinner mamak|||Dinner (sentul) |1
5/6/2018|Cash|Eating out|-10.4|MYR|-10.4|MYR|Lunch (mcd) |||Dinner (shabushabu) |2
5/6/2018|Cash|Eating out|-16|MYR|-16|MYR|Dinner teppanyaki|||Dinner (shisha) |4
